year,city,state,lat,long,total_pop,violent_crime,homs_sum,rape_sum,rob_sum,agg_ass_sum
1977,Columbus,Georgia,32.4609764,-84.9877094,568800,3238,69,331,1752,1086
1977,Columbus,Ohio,39.9611755,-82.9987942,568800,3238,69,331,1752,1086
1977,Dallas,Texas,32.7766642,-96.7969879,873700,8899,224,637,3637,4401
1977,Denver,Colorado,39.7392358,-104.990251,520200,5032,73,466,2488,2005
1977,Detroit,Michigan,42.331427,-83.0457538,1316352,24070,479,1277,15832,6482
1977,El Paso,Texas,31.7775757,-106.4424559,386000,1560,32,107,824,597
1977,Fort Worth,Texas,32.7554883,-97.3307658,383028,2561,102,208,1132,1119
1977,Fresno,California,36.7468422,-119.7725868,182629,1673,52,71,958,592
1977,Honolulu,Hawaii,21.3069444,-157.8583333,721983,1660,46,176,1081,357
1977,Houston,Texas,29.7604267,-95.3698028,1613303,9304,376,965,6153,1810
1977,Indianapolis,Indiana,39.768403,-86.158068,509000,3785,80,346,2139,1220
1977,Jacksonville,Florida,30.3321838,-81.655651,528698,4171,77,299,1466,2329
1977,Kansas City,Missouri,39.0997265,-94.5785667,492055,5616,97,325,2326,2868
1977,Las Vegas,Nevada,36.1699412,-115.1398296,279791,2729,59,183,1419,1068
1977,Long Beach,California,33.7700504,-118.1937395,346662,3391,75,226,1996,1094
1977,Los Angeles,California,34.0522342,-118.2436849,2785393,33676,576,2339,15246,15515
1977,Louisville,Kentucky,38.2526647,-85.7584557,0,0,0,0,0,0
1977,Memphis,Tennessee,35.1495343,-90.0489801,667150,5231,105,581,2749,1796
1977,Mesa,Arizona,33.4151843,-111.8314724,116400,385,4,34,83,264
1977,Miami,Florida,25.7616798,-80.1917902,333713,5346,84,178,2447,2637
1977,Milwaukee,Wisconsin,43.0389025,-87.9064736,640489,2535,54,213,1389,879
1977,Minneapolis,Minnesota,44.977753,-93.2650108,390294,3130,38,324,1652,1116
1977,Nashville,Tennessee,36.1626638,-86.7816016,456589,2957,82,187,1688,1000
1977,New Orleans,Louisiana,29.9510658,-90.0715323,587776,5947,173,360,3279,2135
