year,city,state,lat,long,total_pop,homs_sum,rape_sum,rob_sum,agg_ass_sum,violent_crime
2007,New York,NY,40.76149276,-73.98143112,8220196,496,875,21787,27295,50453
2007,Seattle,WA,47.6062095,-122.3320708,585118,24,90,1522,2031,3667
2007,National,,,,15910487,1436,3670,54752,63123,122981
2008,Chicago,IL,41.850033,-87.6500523,2829304,510,1594,16653,17032,35789
2008,Los Angeles,CA,34.0522342,-118.2436849,3850920,384,949,13422,11798,26553
2008,Miami,FL,25.7742658,-80.1936589,427740,63,42,2415,3189,5709
2008,New York,NY,40.76149276,-73.98143112,8345075,523,890,22186,24831,48430
2008,Seattle,WA,47.6062095,-122.3320708,598077,29,126,1612,1680,3447
2008,National,,,,16051116,1509,3601,56288,58530,119928
2009,Chicago,IL,41.850033,-87.6500523,2848431,458,1439,15877,15727,33501
2009,Los Angeles,CA,34.0522342,-118.2436849,3848776,312,903,12217,10638,24070
2009,Miami,FL,25.7742658,-80.1936589,419205,59,65,2094,2765,4983
2009,New York,NY,40.76149276,-73.98143112,8400907,471,832,18597,26457,46357
2009,Seattle,WA,47.6062095,-122.3320708,602531,22,102,1792,1945,3861
2009,National,,,,16119850,1322,3341,50577,57532,112772
2010,Chicago,IL,41.850033,-87.6500523,2695598,432,1372,14213,13757,29774
2010,Los Angeles,CA,34.0522342,-118.2436849,3792621,293,923,10924,9344,21484
2010,Miami,FL,25.7742658,-80.1936589,399457,68,46,1856,2909,4879
2010,New York,NY,40.76149276,-73.98143112,8175133,536,1036,19608,27309,48489
2010,Seattle,WA,47.6062095,-122.3320708,608660,19,96,1429,1971,3515
2010,National,,,,15671469,1348,3473,48030,55290,108141
2011,Chicago,IL,41.850033,-87.6500523,2703713,431,1459,13975,12408,28273
2011,Los Angeles,CA,34.0522342,-118.2436849,3837207,297,828,10077,8843,20045
2011,Miami,FL,25.7742658,-80.1936589,404901,68,96,2002,2683,4849
2011,New York,NY,40.76149276,-73.98143112,8211875,515,1092,19773,29829,51209
2011,Seattle,WA,47.6062095,-122.3320708,618209,20,100,1418,2126,3664
2011,National,,,,15775905,1331,3575,47245,55889,108040
2012,Chicago,IL,41.850033,-87.6500523,2708382,500,1372,13476,12272,27620
2012,Los Angeles,CA,34.0522342,-118.2436849,3855122,299,936,8983,8329,18547
2012,Miami,FL,25.7742658,-80.1936589,414327,69,65,2096,2626,4856
2012,New York,NY,40.76149276,-73.98143112,8289415,419,1162,20201,31211,52993
2012,Seattle,WA,47.6062095,-122.3320708,626865,25,123,1436,2198,3782
2012,National,,,,15894111,1312,3658,46192,56636,107798
2013,Chicago,IL,41.850033,-87.6500523,2720554,416,1338,11826,12108,25688
2013,Los Angeles,CA,34.0522342,-118.2436849,3878725,251,764,7885,7624,16524
2013,Miami,FL,25.7742658,-80.1936589,418394,71,96,2216,2562,4945
2013,New York,NY,40.76149276,-73.98143112,8396126,335,1112,19170,31767,52384
2013,Seattle,WA,47.6062095,-122.3320708,642814,18,154,1602,1986,3760
2013,National,,,,16056613,1091,3464,42699,56047,103301
2014,Chicago,IL,41.850033,-87.6500523,2724121,415,1388,9800,12530,24133
2014,Los Angeles,CA,34.0522342,-118.2436849,3906772,260,1126,7949,9836,19171
2014,Miami,FL,25.7742658,-80.1936589,421996,81,110,1790,2492,4473
2014,New York,NY,40.76149276,-73.98143112,8473938,333,2190,16581,31460,50564
2014,Seattle,WA,47.6062095,-122.3320708,663410,26,154,1567,2258,4005
2014,National,,,,16190237,1115,4968,37687,58576,102346
2015,Chicago,IL,41.850033,-87.6500523,36479652,952,13207,28514,37762,74323
2015,Los Angeles,CA,34.0522342,-118.2436849,21210,20,11,167,195,382
2015,Miami,FL,25.7742658,-80.1936589,111708247,6161,31144,171616,498354,679978
2015,New York,NY,40.76149276,-73.98143112,27410,1,7,58,91,155
2015,Seattle,WA,47.6062095,-122.3320708,96223249,2996,17782,144930,273835,434041
2015,National,,,,244459768,10129,62150,345285,810238,1188879
